sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.7386243509049162,0.4348850375946337,4,4,0,0,0,0,9.297740323226028,70,2
1,1.5095973654871284,0.5708232198609106,5,5,0,0,0,2,9.19729501610235,76,2
2,0.48904073522837144,0.23646710922286493,2,2,0,1,0,5,9.248269309114262,73,2
3,0.6059992485577412,0.3068131834157167,1,1,0,1,0,5,12.863646022034267,65,2
4,0.9599447103943998,0.5578615327878635,2,2,0,0,0,1,9.822668826288169,73,2
5,0.9299724508186541,0.6078883850223444,6,6,0,0,0,0,7.847775908897071,104,3
6,1.0803310364599947,0.7125022289521161,1,1,0,0,0,0,7.134831828591178,104,3
7,1.096890158726161,0.7755172729295539,6,6,0,0,0,0,7.1472302350844235,138,4
8,0.9354493955979666,0.616729939830487,6,6,0,0,0,3,8.234696979217029,104,3
9,0.9299724508186541,0.6078883850223444,6,6,0,0,0,0,7.847775908897071,104,3
10,1.6987642285351994,0.9123440715396169,8,6,2,0,0,3,7.646106621200215,104,3
11,0.47498628099483753,0.35720649669666915,0,0,0,0,0,2,7.5925588835779845,103,2
12,1.0090666204735,0.6128663790821914,5,5,0,0,0,4,8.41520586088124,104,3
13,0.9299724508186541,0.6078883850223444,6,6,0,0,0,0,7.847775908897071,104,3
14,0.17192887501711784,0.1221414413975098,0,0,0,0,0,0,6.528827929342478,104,2
15,0.3310836379095027,0.22076463272466487,1,1,0,0,0,0,6.753908985152005,104,2
16,1.4356271954207973,0.8547515117110268,4,4,0,0,0,2,7.788323020062787,104,3
17,0.45923703743328964,0.3502689212557571,0,0,0,0,0,2,7.581932241153885,104,2
18,0.43364555377084296,0.25619221301145384,2,2,0,0,0,0,6.7426094696417875,106,2
19,0.9038406469919968,0.553676678638098,10,10,0,0,0,1,7.548988408768521,104,3
20,1.0016978682973883,0.6556634816729802,10,10,0,0,0,1,7.20247127536751,141,4
21,0.3310836379095027,0.23530251384828774,1,1,0,0,0,0,6.74821786244352,105,2
22,2.95409615236843,1.2373767625913596,0,0,0,1,0,6,9.933650465665018,104,3
23,1.9905590181214061,1.1276682833847516,5,4,1,0,0,4,8.04986176249066,104,3
24,0.8099416309107754,0.49978467242625596,0,0,0,0,0,1,7.295536648887089,100,2
25,1.2330119774030395,0.5444757258983692,7,6,1,0,0,3,8.961772338922655,76,2
26,0.6352959906242432,0.47952867023986584,8,8,0,0,0,1,7.265430139049625,104,3
27,0.5865805666844245,0.2551002264756226,6,6,0,0,0,1,8.840329015154609,76,2
28,0.3310836379095027,0.22076463272466487,1,1,0,0,0,0,6.753908985152005,104,2
29,0.9751269705664873,0.6252372081067235,10,10,0,0,0,1,7.153500118038461,163,4
30,0.5865805666844245,0.2551002264756226,6,6,0,0,0,1,8.840329015154609,76,2
31,0.25947583270946567,0.22144377247684138,0,0,0,0,0,1,7.032218621743202,104,2
32,0.3310836379095027,0.22076463272466487,1,1,0,0,0,0,6.753908985152005,104,2
33,1.4952680888639311,1.03546477029533,26,26,0,0,0,1,7.966039107501998,104,4
34,1.0143459927332212,0.45417787798445347,2,2,0,0,0,0,7.634843941792178,136,3
35,1.373047268018954,0.9348448209380305,12,12,0,0,0,0,7.428696535416934,106,4
36,1.5875504702032854,1.056406065371946,21,20,1,1,0,6,7.936159065565561,104,4
37,0.7674565644924691,0.5436941425399047,13,13,0,0,0,1,7.523780977934439,104,3
38,0.9354868515144864,0.5695667361028477,22,22,0,0,0,1,9.057037258665652,76,3
39,1.33782524032439,0.7327159077584038,13,13,0,0,0,0,7.258543047992406,134,4
40,1.46414574691355,0.9481791292614351,23,23,0,0,0,1,7.7933971465095295,104,4
41,1.4402119886251517,0.8365690202065315,1,1,0,0,0,0,7.913698265336096,104,3
42,1.1150882409153557,0.5230978712465562,0,0,0,0,0,0,7.29660551210809,104,2
43,0.8232991560569408,0.5283047601158324,23,23,0,0,0,1,8.021013222162264,191,5
44,1.800058268017244,0.7411812280501423,22,22,0,0,0,2,9.035697972688105,76,3
45,1.4952680888639311,1.03546477029533,26,26,0,0,0,1,7.966039107501998,104,4
46,0.7674565644924691,0.5436941425399047,13,13,0,0,0,1,7.523780977934439,104,3
47,1.2898977362036586,0.7619599840579115,3,3,0,0,0,1,7.943206576303087,104,3
48,1.5196625213555492,1.0940675472742314,16,16,0,0,0,2,8.032401563050046,104,4
49,1.5340440022026847,1.1322380856040608,26,26,0,0,0,1,7.579658640567706,125,5
50,1.2898977362036586,0.7619599840579115,3,3,0,0,0,1,7.943206576303087,104,3
51,1.4952680888639311,0.9557449864848355,21,20,1,0,0,2,7.791693237860937,104,4
52,1.5102829332404797,1.1088736931441778,37,37,0,2,0,1,7.016975111582117,200,6
53,0.8567163643447162,0.571927640654769,23,23,0,2,0,1,6.750228610245481,200,5
54,1.1254134762160954,0.6603633371959872,33,33,0,2,0,1,7.242917574163794,200,5
55,1.7687091080777821,1.1625437982900084,26,26,0,2,0,1,7.0819261841587275,200,6
56,1.5501865535262396,1.0739316261374119,29,29,0,1,0,1,7.75285880604048,200,6
57,1.0121613983139688,0.6434211137655567,33,33,0,2,0,1,7.221165844923489,200,5
58,5.3289573899362,2.5948752886488125,25,25,0,2,0,1,7.29290608517496,200,6
59,1.3506593399057234,0.8194465245305174,6,6,0,2,0,1,6.901571861181543,200,5
60,3.3213732575179433,1.4332217729017696,21,21,0,2,0,5,7.265195244254344,200,6
61,1.5082152163031337,1.065880275193588,26,26,0,1,0,1,7.478826989460965,200,5
62,3.69983833115508,1.220371619950036,33,33,0,3,0,5,8.284840940227468,200,6
63,1.806870968026218,1.1158944133196647,22,20,2,2,0,1,7.035389187565461,200,6
64,2.2165102044696328,1.1563513781938308,30,30,0,1,0,3,8.19668440726334,200,6
65,1.5102829332404797,1.1088736931441778,37,37,0,2,0,1,7.0114935923576045,200,6
66,2.244837358220585,1.1761008972912028,22,17,5,2,0,1,7.0901956928685275,200,6
67,1.5082152163031337,1.065880275193588,26,26,0,1,0,1,7.478826989460965,200,5
68,1.7837897768545017,0.8236402562774758,26,25,1,2,0,1,6.771518820149326,200,5
69,2.3394742867427802,1.285021355260749,35,35,0,2,0,2,7.0134914278792335,200,6
70,1.5082152163031337,1.065880275193588,26,26,0,1,0,1,7.478826989460965,200,5
71,1.6336302698417193,1.1451469899011983,30,29,1,3,0,6,6.9050697780692945,200,6
72,2.0139301520983404,1.0003250619048842,17,17,0,3,0,11,7.4290832171332175,200,5
73,3.975269156195379,1.7330584608595454,5,5,0,3,0,6,8.574503749575912,200,6
74,1.0631457824302861,0.6976222023765997,22,22,0,1,0,1,7.3044899110087425,200,5
75,2.259206169784012,1.0049486700509815,5,5,0,1,0,1,8.557413967382924,200,5
76,20.607804563667234,16.608591115750272,3,3,0,4,1,11,8.113015427590282,200,6
77,1.5082152163031337,1.065880275193588,26,26,0,1,0,1,7.478826989460965,200,5
78,1.5082152163031337,1.065880275193588,26,26,0,1,0,1,7.478826989460965,200,5
79,1.619238568840322,1.189091922708645,35,35,0,1,0,1,8.314234562199417,200,6
80,0.6041305084686961,0.42237205809774564,4,4,0,1,0,1,6.786512169748049,200,4
81,1.6149990671695726,0.9288924455431822,33,32,1,2,0,1,7.1665775273726515,200,5
82,1.3506593399057234,0.8194465245305174,6,6,0,2,0,1,6.901571861181543,200,5
83,1.2848696651777745,0.8310578073441629,28,28,0,2,0,0,6.743956537794379,200,5
84,1.5099234090209237,1.0976292868788438,26,26,0,2,0,1,7.017187166367287,200,6
85,1.5506898875482733,1.073553310152623,29,29,0,1,0,1,7.759215295975069,200,6
86,0.8567163643447162,0.571927640654769,23,23,0,2,0,1,6.750228610245481,200,5
87,1.5117865175354268,1.112844570761617,37,37,0,1,0,1,7.021226628746531,200,6
88,1.2848696651777745,0.8310578073441629,28,28,0,2,0,0,6.743956537794379,200,5
89,1.5156812506629624,1.1134986707162888,37,37,0,2,0,1,7.0104859411510665,200,6
90,1.3506593399057234,0.8194465245305174,6,6,0,2,0,1,6.901571861181543,200,5
91,1.0117880123979641,0.6429756589516963,33,33,0,2,0,1,7.2344579002779845,200,5
92,2.161609399276078,1.177806906874828,47,41,6,2,0,2,6.94760729852238,200,6
93,1.9810149468851956,1.081337928768022,11,10,1,1,0,1,6.691710946638539,200,5
94,1.959593490754993,1.0565475445080452,17,16,1,2,0,1,6.695186743100688,200,5
95,1.851695490465214,0.875367581932839,23,23,0,4,0,13,6.80271002800201,200,6
96,2.020302364614947,1.0008780254799206,36,31,5,2,0,1,6.6631609447565125,200,6
97,2.2426579421054122,1.2070541364981404,46,40,6,1,0,3,7.9074181881026115,200,6
98,2.4198352721228407,1.4033510573465806,18,14,4,1,0,3,6.958367675190811,200,6
99,2.1176483102781334,0.9396545191385235,42,37,5,2,0,2,6.956130210433223,200,6
100,1.3506593399057234,0.828886043041277,6,6,0,2,0,1,6.899796637738007,200,5
101,6.490068201742709,4.787743747012179,10,9,1,5,1,15,6.71019325627008,200,5
102,2.3845833690207985,1.3783568977503486,26,22,4,2,0,3,6.927960410347827,200,6
103,1.8561306006549678,0.8133942497355352,19,14,5,1,0,1,7.147944855436566,200,5
104,6.086682535000402,2.7933551753225085,27,24,3,2,0,2,7.29016123743478,200,6
105,2.161609399276078,1.177806906874828,47,41,6,2,0,2,6.942216633207667,200,6
106,2.519499216004842,1.3966027301587267,25,21,4,2,0,1,6.891259446484695,200,6
107,2.181582865723042,1.2068938244691614,34,28,6,1,0,2,6.994749988563145,200,6
108,2.9962959574681545,1.730160509403707,35,33,2,3,1,13,7.832014665931503,200,5
