sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.11297435521655191,0.09702902046108768,0,0,0,0,0,0,6.459557028188593,128,3
1,0.12916231851125007,0.07909593956300824,0,0,0,0,0,0,6.391878578296794,158,3
2,0.06407133957861708,0.05398770375639888,0,0,0,0,0,0,6.328126448386109,117,2
3,1.5650443638488858,0.717107978290503,0,0,0,0,0,0,7.654966388005001,117,3
4,0.4406137346331353,0.17251475335461974,0,0,0,1,0,5,6.963125321025688,181,3
5,0.09939163731757898,0.06770811238649174,0,0,0,0,0,0,6.259940515863557,128,2
6,0.3857124879596948,0.3119378461963561,0,0,0,0,0,0,6.8016876059038225,177,4
7,0.17146671988753334,0.07693600781551782,0,0,0,0,0,1,6.462798393153325,115,2
8,1.1333391562962398,0.7871879491589234,2,1,1,0,0,0,7.161597191601043,128,4
9,1.1333391562962398,0.7903023825502157,2,1,1,0,0,0,7.161600982222237,128,4
10,4.209361786246266,1.0536509240890934,2,1,1,1,0,5,9.41901736361919,117,4
11,1.158699972795575,0.8103654883975473,2,1,1,0,0,0,7.552015960190424,157,5
12,1.020643227782286,0.6700394752859474,1,0,1,1,0,0,7.09089071300344,200,4
13,1.0103835414878088,0.6323575584829373,1,0,1,0,0,0,7.395166682592987,117,3
14,0.5301364315534343,0.408103409280695,0,0,0,0,0,0,7.6871778259691,128,3
15,0.7293722589749648,0.33147695674623623,0,0,0,0,0,0,9.1208947417231,128,2
16,1.1073313380695329,0.7753143546129609,1,0,1,0,0,0,7.155807851071765,133,4
17,0.9657313034136173,0.6989808484329291,2,1,1,0,0,0,7.088100244961293,128,4
18,0.8663989519337156,0.5770107965969727,2,1,1,0,0,0,8.750868783165524,94,3
19,1.133400593449238,0.8114563718886824,3,2,1,0,0,0,7.161798779299044,128,4
20,1.216148132413102,0.8817087457152475,3,2,1,1,0,0,6.683659958996982,200,5
21,1.2395238295103397,0.512224256516095,5,4,1,0,0,0,7.013968571226103,128,3
22,1.5698870875145363,0.5668172655605077,1,1,0,0,0,0,9.14316768609056,128,3
23,1.236872431168622,0.5107188491801087,5,4,1,0,0,0,7.0130140621220765,129,3
24,0.3758004124663823,0.21440004938300453,0,0,0,0,0,0,6.850410394236068,170,3
25,1.078850063286134,0.3923253344566596,3,2,1,0,0,0,7.264686176472728,117,2
26,1.4037293309999541,0.8016644937171775,4,3,1,0,0,0,6.989026907356251,128,4
27,1.1205039381004949,0.43243680262877054,3,2,1,1,0,0,6.9538842536799965,200,3
28,1.078847939941135,0.3613286344326964,1,1,0,0,0,2,7.1503831680488785,117,2
29,1.078850063286134,0.3923253344566596,3,2,1,0,0,0,7.264686176472728,117,2
30,0.09939163731757898,0.06770811238649174,0,0,0,0,0,0,6.259940515863557,128,2
31,1.2888933898731731,0.547016236302282,7,5,2,0,0,3,7.0275789592965845,128,3
32,1.242302955487844,0.5047585872457999,6,6,0,0,0,4,7.108204643787378,128,3
33,1.944463457796067,0.7368430488080737,7,3,4,1,0,5,7.470431076965419,128,4
34,1.4634729495139744,0.6427503655212708,12,10,2,0,0,3,7.046857024013796,117,3
35,0.4193427758964558,0.26758255419327354,0,0,0,1,0,3,6.794389608048848,200,3
36,1.1867454247180718,0.4872884997337112,7,5,2,1,0,3,7.300161910548639,200,4
